name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
TOI-1238 d,Candidate,,0.0,10.0,2.0,0.0,10.0,,,,600.0,0.0,1000.0,,,,,,,,,,,2021,2021-11-30,,,,,,,,,,,,,,,,,,,,,,,,,70.0,0.0,100.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TOI-1238,201.383333344,68.83611113,12.8,,,,,70.6424,0.0614,0.0614,0.31,0.19,0.19,0.59,0.02,0.02,0.58,0.02,0.02,,0.8,0.0,10.0,4089.0,54.0,54.0,,,
TOI-1685 c,Candidate,,0.006,0.006,0.02898,0.006,0.006,,,,9.025,0.12,0.1,,,,,,,,,,,2021,2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,,4.53,1.0,1.0,449.0,7.0,7.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TOI-1685,68.595833341,43.036944448,,,,,,37.609,0.027,0.027,-0.13,0.16,0.16,0.495,0.019,0.019,0.492,0.015,0.015,M3.0V,1.3,0.7,0.7,3434.0,51.0,51.0,,,
TOI-1883 Ac,Candidate,,,,50.0,,,,,,,,,,,,,,,,,,,2024,2025-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TOI-1883 A,134.08925,-12.930644444444445,,,,,,115.369,0.848,0.861,,,,0.492,0.021,0.021,0.494,0.015,0.015,M2V,,,,3477.0,157.0,157.0,,,
TOI-2196 c,Candidate,,0.05,0.05,0.65,0.05,0.05,,,,220.0,,,0.717,0.009,0.009,,,,,,,,2022,2022-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TOI-2196,312.341666674,-70.485000011,13.0,,,,,263.98,0.6,0.6,0.14,0.05,0.05,1.032,0.038,0.038,1.043,0.017,0.017,,4.5,2.0,2.0,5634.0,31.0,31.0,,,
TOI-4481 d,Candidate,,0.0013,0.0013,0.0267,0.0013,0.0013,,,,13.60588,0.00065,0.00065,0.0844,0.0017,0.0017,,,,,,,,2023,2023-01-18,,,,,,,,,,,,,,,,,,,,,,,,,4.1,0.2,0.2,385.0,4.0,4.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 806 d,,TOI-4481,311.266666668,44.499166689,,,,,,12.0641,0.0024,0.0024,-0.28,0.07,0.07,0.413,0.011,0.011,0.4144,0.038,0.038,M1.5V,4.5,3.7,3.7,3600.0,16.0,16.0,,,GJ 806
TOI-620 c,Candidate,,,,,,,,,,17.72,0.08,0.08,,,,0.2,0.18,0.3,,,,,2022,2024-10-17,82.7,141.0,43.0,,,,,,,,,,,,,,,,,,,,,,4.74,1.06,1.14,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,TOI-620,142.17328792322346,-12.165486864666425,12.3,,,,,33.022,0.067,0.067,0.35,0.12,0.12,0.577,0.025,0.025,0.55,0.017,0.017,M2.5V,7.2,4.7,4.7,3708.0,57.0,57.0,,,G 161-32
TOI-763 Ad,Candidate,,0.005,0.005,0.03002,0.005,0.005,,,,47.7991,2.74,2.74,0.2504,0.01,0.009,,,,,,,,2020,2024-07-30,,,,,,,,,,,,,,,,,,,,,,,,,1.84,0.32,0.32,509.0,12.0,12.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,TOI-763 A,194.466666684,-39.757777799,10.28,,8.86,8.55,8.49,95.39,0.05,0.05,0.01,0.05,0.05,0.917,0.028,0.028,0.897,0.013,0.013,G6V,,,,5450.0,60.0,60.0,,,
TWA 13 Ab,Candidate,,,,4.0,,,,,,5.56,,,,,,,,,,,,,2012,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,TWA 13 A,170.32183333333333,-34.77930555555555,11.46,9.57,8.43,7.72,7.49,59.7753,0.11435,0.11435,,,,0.6,,,1.065,0.129,0.129,M1Ve,0.008,,,3800.0,,,,,"*V547 Hya, CD-34 7390 A"
ups Boo b,Candidate,,,,1.997,,,,,,520.37931713,,,1.223,,,0.1976,,,,,,,2010,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HIP 67459 b,,ups Boo,207.36933869583626,15.797904644250833,4.07,2.0,1.3,0.53,0.34,69.9849,1.72605,1.72605,-0.57,0.1,0.1,0.95,,,34.1922,,,K5.5III,,,,3991.0,122.0,122.0,,,"5 Boo, HIP 67459"
UX Cha b,Candidate,,,,15.0,,,,,,7.7,,,0.1,,,,,,,,,,2014,2024-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,CHXR 20 b,,UX Cha,166.68789339922,-77.45066202095,14.78,12.07,10.18,9.19,9.19,184.495,1.2745,1.2745,,,,0.9,,,1.169,,,K5Ve,0.005,,,4107.0,424.0,424.0,IR Excess,,CHXR 20
Wolf 359 b,Candidate,,0.076,0.094,0.1381,0.076,0.094,,,,2938.0,436.0,436.0,1.845,0.26,0.29,0.04,0.04,0.27,,,,,2019,2023-09-08,,,,,,,,,,,,,,,,,,,,,,,,,9.61,5.0,5.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 406 b,,Wolf 359,164.120833343,7.014444456,13.5,,,,,2.42,0.007,0.007,,,,,,,,,,M6V,,,,,,,,,GJ 406
XO-2N c,Candidate,,22.0,40.0,31.0,22.0,40.0,,,,100.0,99.0,1000.0,,,,,,,,,,,2011,2024-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,XO-2N,117.0291667,50.2258333,11.14,10.24,9.74,9.34,9.3,149.0,4.0,4.0,0.37,0.07,0.07,0.96,0.05,0.05,0.998,0.033,0.033,G9/K0V,2.0,,,5290.0,18.0,18.0,,,"BD+50 1471, TOI-1720, BVD 68 B, TIC 356473034"
XO-7 c,Candidate,,3.5,3.5,16.7,3.5,3.5,,,,7900.0,1660.0,1660.0,,,,,,,,,,,2023,2023-11-06,,,,,,,,,,,,,,,,,,,,,,,,,136.5,0.5,0.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,XO-7,277.229166685,85.233333338,10.5,,,,,234.1,1.2,1.2,0.41,0.23,0.23,1.405,0.059,0.059,1.48,0.022,0.022,G0V,1.18,0.71,0.98,6000.0,450.0,250.0,,,BD+85 317
YZ Cet e,Candidate,,0.0003,0.0003,0.00149,0.0003,0.0003,,,,1.04,,,,,,,,,,,,,2017,2017-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,YZ Cet,18.1270833435,-16.998888921,12.074,,,,6.42,3.6,,,-0.26,0.08,0.08,0.13,0.013,0.013,0.168,0.009,0.009,M4.5,4.0,0.6,0.6,3056.0,60.0,60.0,,,
zet Her Ab,Candidate,50.0,,,,,,,,,,,,,,,,,,,,,,2001,2024-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,zet Her A,250.32150433333334,31.602718694444444,2.8,,1.49,1.18,1.28,10.79564,,,0.082,0.0136,0.0136,1.45,0.01,0.01,2.688,,,G0IV,3.38,,,5795.47,,,,,40 Her
