name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HN Lib c,Candidate,,0.006,0.006,0.0305,0.006,0.006,,,,113.46,0.2,0.2,0.304,0.005,0.005,,,,,,,,2023,2023-06-01,,,,2457492.8,3.3,3.6,,,,,,,,,,,,,,,,,,,2.92,0.56,0.56,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Gliese 555 c,,HN Lib,218.575000006,-12.519444457,11.3,,,,,6.253,0.002,0.002,-0.18,0.15,0.15,0.291,0.013,0.013,0.299,0.009,0.009,M3.5V,4.4,3.5,3.5,3347.0,50.0,50.0,,,Gliese 555
IC 4651 MMU 9122 b,Candidate,,0.36,0.36,6.22,0.36,0.36,,,,745.94,1.8,1.8,1.95,0.03,0.03,0.04,0.03,0.03,,,,,2023,2023-11-20,54.0,,,2453004.39,,,,,,,,,,,,,,,,,,,,,94.98,4.4,4.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,IC 4651 MMU 9122,261.20833335,-49.94888892,10.9,,,,,888.0,,,-0.03,0.01,0.01,1.79,0.09,0.09,13.36,0.7,0.7,,1.58,,,4582.0,12.0,12.0,,,
K2-12 c,Candidate,,0.0,500.0,5.0,0.0,500.0,,,,10150.0,,,9.1,,,,,,,,,,2023,2025-02-19,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,K2-12,173.192032,2.244884,,,10.983,10.712,,329.36,6.23,6.23,0.01,0.06,0.06,0.93,0.02,0.02,1.12,0.02,0.02,G3V,11.25,1.18,1.19,5675.0,100.0,100.0,,,"EPIC 201613023, 2MASS J11324609+0214415, WISE J113246.07+021441.0"
K2-24 d,Candidate,0.17,0.013,0.028,,,,,,,469.0,15.0,10.0,1.216,,,0.0,,,,,,,2024,2024-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,K2-24,242.573715,-24.990332,11.648,10.64,9.635,9.294,9.18,170.5,0.5,0.5,0.41,0.05,0.05,1.091,0.056,0.056,1.185,0.011,0.011,G2V,4.9,1.7,1.7,5726.0,65.0,65.0,,,"EPIC 203771098, CD-24 12581, 2MASS J16101770-2459251, TYC 6784-837-1, WISE J161017.64-245925.8"
K2-266 Af,Candidate,,,,,,,0.05166,0.00669,0.00749,6.1002,0.0017,0.0015,0.05658,0.00084,0.00086,0.049,0.035,0.052,88.23,0.45,0.81,,2018,2024-06-11,20.0,140.0,100.0,,,,,,,2457943.9141,0.0063,0.0063,,,,,,,0.58,0.27,0.15,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,Primary Transit,,,K2-266 A,157.93544,0.937571,,,9.611,9.041,,77.5586,0.3549,0.3581,-0.12,0.42,0.4,0.68,0.094,0.0679,0.7337,0.0572,0.0678,K7V,8.4,4.8,4.1,4362.0,137.357,110.463,,,"EPIC 248435473, WISE J103144.54+005614.5, EPIC 248435473 A, TIC 374180079, 2MASS J10314450+0056152"
K2-266 Ag,Candidate,,,,,,,0.0723,0.0098,0.0125,56.682,0.018,0.019,0.2501,0.0037,0.0038,0.28,0.18,0.14,89.51,0.12,0.23,,2018,2024-06-11,61.0,130.0,72.0,,,,,,,2457913.436,0.013,0.014,,,,,,,0.63,0.35,0.19,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,Primary Transit,,,K2-266 A,157.93544,0.937571,,,9.611,9.041,,77.5586,0.3549,0.3581,-0.12,0.42,0.4,0.68,0.094,0.0679,0.7337,0.0572,0.0678,K7V,8.4,4.8,4.1,4362.0,137.357,110.463,,,"EPIC 248435473, WISE J103144.54+005614.5, EPIC 248435473 A, TIC 374180079, 2MASS J10314450+0056152"
K2-38 d,Candidate,,1.5,1.5,1.6,1.5,1.5,,,,753.0,36.0,36.0,,,,,,,,,,,2020,2020-07-03,,,,,,,,,,,,,,,,,,,,,,,,,9.3,1.7,1.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,K2-38,240.033585,-23.189287,11.4,,9.911,9.6,,192.69,2.597,2.669,0.235,0.07,0.07,1.054,0.063,0.07,1.141,0.12,0.12,G3V,6.1,3.1,3.4,5705.0,66.0,66.0,,,"WISE J160008.01-231121.6, EPIC 204221263, TYC 6779-268-1, 2MASS J16000805-2311213"
Kepler-1876 c,Candidate,,0.022,0.022,0.035,0.022,0.022,,,,15.76,0.16,0.1,0.13,0.0033,0.0033,0.1,0.1,0.0,,,,,2023,2023-12-10,,,,2456988.65,1.8,1.0,,,,,,,,,,,,,,,,,,,2.5,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Kepler-1876,299.162500013,41.1438889,10.9,,,,,259.9,1.8,1.8,0.01,0.06,0.06,1.19,0.09,0.08,1.48,0.02,0.02,,4.4,1.4,2.1,6104.0,57.0,57.0,,,
Kepler-21 Ac,Candidate,4.0,1.3,2.4,4.0,1.3,2.4,,,,22885.5,7957.0,18104.0,17.7,1.6,1.6,,,,90.0,,,,2024,2024-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Kepler-21 A,287.361816,38.714016,8.27,,7.23,7.03,6.94,108.522,0.3835,0.3835,-0.03,0.1,0.1,1.408,0.03,0.021,1.902,0.012,0.018,F6IV,2.84,0.35,0.35,6305.0,50.0,50.0,,,"Kepler-21, BD+38 3455, WISE J190926.86+384250.7, HD 179070, HIP 94112, KOI-975, KIC 3632418, SAO 67891, TIC 121214185, TYC 3120-00963-1, 2MASS J19092683+3842505"
Kepler-93 d,Candidate,,0.0,2100.0,21.0,0.0,2100.0,,,,17750.0,,,13.0,,,,,,,,,,2023,2025-02-19,,,,,,,,,,,,,,,,,,,,,,,,,174.0,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,Kepler-93,291.418281,38.672354,,,8.771,8.446,,96.18,0.22,0.22,-0.18,0.1,0.1,1.09,0.14,0.14,0.98,0.04,0.04,,6.6,0.9,0.9,5669.0,75.0,75.0,,,"2MASS J19254039+3840204, KIC 3544595, KOI-69, WISE J192540.36+384020.4"
